index,name,base_name,Label Name,network,component,hemisphere
1.0,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
2.0,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
3.0,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
4.0,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
5.0,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
6.0,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
7.0,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
8.0,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
9.0,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
10.0,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
11.0,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
12.0,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
13.0,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
14.0,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
15.0,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
16.0,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
17.0,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
18.0,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
19.0,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
20.0,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
21.0,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
22.0,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
23.0,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
24.0,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
25.0,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
26.0,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
27.0,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
28.0,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
29.0,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
30.0,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
31.0,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
32.0,7Networks_LH_Vis_32,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
33.0,7Networks_LH_Vis_33,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
34.0,7Networks_LH_Vis_34,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
35.0,7Networks_LH_Vis_35,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
36.0,7Networks_LH_Vis_36,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
37.0,7Networks_LH_Vis_37,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
38.0,7Networks_LH_Vis_38,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
39.0,7Networks_LH_Vis_39,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
40.0,7Networks_LH_Vis_40,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
41.0,7Networks_LH_Vis_41,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
42.0,7Networks_LH_Vis_42,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
43.0,7Networks_LH_Vis_43,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
44.0,7Networks_LH_Vis_44,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
45.0,7Networks_LH_Vis_45,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
46.0,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
47.0,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
48.0,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
49.0,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
50.0,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
51.0,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
52.0,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
53.0,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
54.0,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
55.0,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
56.0,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
57.0,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
58.0,7Networks_LH_SomMot_13,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
59.0,7Networks_LH_SomMot_14,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
60.0,7Networks_LH_SomMot_15,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
61.0,7Networks_LH_SomMot_16,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
62.0,7Networks_LH_SomMot_17,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
63.0,7Networks_LH_SomMot_18,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
64.0,7Networks_LH_SomMot_19,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
65.0,7Networks_LH_SomMot_20,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
66.0,7Networks_LH_SomMot_21,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
67.0,7Networks_LH_SomMot_22,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
68.0,7Networks_LH_SomMot_23,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
69.0,7Networks_LH_SomMot_24,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
70.0,7Networks_LH_SomMot_25,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
71.0,7Networks_LH_SomMot_26,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
72.0,7Networks_LH_SomMot_27,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
73.0,7Networks_LH_SomMot_28,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
74.0,7Networks_LH_SomMot_29,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
75.0,7Networks_LH_SomMot_30,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
76.0,7Networks_LH_SomMot_31,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
77.0,7Networks_LH_SomMot_32,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
78.0,7Networks_LH_SomMot_33,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
79.0,7Networks_LH_SomMot_34,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
80.0,7Networks_LH_SomMot_35,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
81.0,7Networks_LH_SomMot_36,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
82.0,7Networks_LH_SomMot_37,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
83.0,7Networks_LH_SomMot_38,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
84.0,7Networks_LH_SomMot_39,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
85.0,7Networks_LH_SomMot_40,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
86.0,7Networks_LH_SomMot_41,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
87.0,7Networks_LH_SomMot_42,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
88.0,7Networks_LH_SomMot_43,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
89.0,7Networks_LH_SomMot_44,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
90.0,7Networks_LH_SomMot_45,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
91.0,7Networks_LH_SomMot_46,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
92.0,7Networks_LH_SomMot_47,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
93.0,7Networks_LH_SomMot_48,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
94.0,7Networks_LH_SomMot_49,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
95.0,7Networks_LH_SomMot_50,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
96.0,7Networks_LH_SomMot_51,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
97.0,7Networks_LH_SomMot_52,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
98.0,7Networks_LH_SomMot_53,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
99.0,7Networks_LH_SomMot_54,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
100.0,7Networks_LH_SomMot_55,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
101.0,7Networks_LH_SomMot_56,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
102.0,7Networks_LH_DorsAttn_Post_1,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
103.0,7Networks_LH_DorsAttn_Post_2,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
104.0,7Networks_LH_DorsAttn_Post_3,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
105.0,7Networks_LH_DorsAttn_Post_4,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
106.0,7Networks_LH_DorsAttn_Post_5,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
107.0,7Networks_LH_DorsAttn_Post_6,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
108.0,7Networks_LH_DorsAttn_Post_7,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
109.0,7Networks_LH_DorsAttn_Post_8,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
110.0,7Networks_LH_DorsAttn_Post_9,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
111.0,7Networks_LH_DorsAttn_Post_10,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
112.0,7Networks_LH_DorsAttn_Post_11,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
113.0,7Networks_LH_DorsAttn_Post_12,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
114.0,7Networks_LH_DorsAttn_Post_13,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
115.0,7Networks_LH_DorsAttn_Post_14,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
116.0,7Networks_LH_DorsAttn_Post_15,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L
